compiler,n_vectors,n_queries,dim,k,ef,algo,variant,num_runs,search_time_ns,median_search_time_ns,min_search_time_ns,max_search_time_ns,returncode,command,stderr
gcc,1000,200,16,10,50,flat,scalar,40,1710021,1710021,1675208,1764875,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,1000,200,16,10,50,flat,simd,40,1272062,1272062,1217167,61913583,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,1000,200,16,10,50,hnsw,scalar,40,2982791,2982791,2828250,3935000,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,1000,200,16,10,50,hnsw,simd,40,2652187,2652187,2579208,2885041,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,1000,200,16,10,50,flat,scalar,40,1814792,1814792,1746666,5070333,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,1000,200,16,10,50,flat,simd,40,1180145,1180145,1131000,1235542,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,1000,200,16,10,50,hnsw,scalar,40,2942021,2942021,2873708,3244000,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,1000,200,16,10,50,hnsw,simd,40,2857979,2857979,2651792,11338541,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,2000,200,16,10,50,flat,scalar,40,3172979,3172979,3086792,4487667,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,2000,200,16,10,50,flat,simd,40,2175208,2175208,2112334,2323125,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,2000,200,16,10,50,hnsw,scalar,40,3292792,3292792,3177667,4523208,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,2000,200,16,10,50,hnsw,simd,40,3006500,3006500,2935250,3221500,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,2000,200,16,10,50,flat,scalar,40,3327312,3327312,3221375,3527209,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,2000,200,16,10,50,flat,simd,40,2025021,2025021,1962292,2129625,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,2000,200,16,10,50,hnsw,scalar,40,3434833,3434833,3328708,3612125,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,2000,200,16,10,50,hnsw,simd,40,3160146,3160146,3053917,3567000,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,4000,200,16,10,50,flat,scalar,40,5804771,5804771,5665167,6131125,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,4000,200,16,10,50,flat,simd,40,3747229,3747229,3662083,3970500,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,4000,200,16,10,50,hnsw,scalar,40,3474187,3474187,3343584,3673208,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,4000,200,16,10,50,hnsw,simd,40,3154916,3154916,3076875,3396792,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,4000,200,16,10,50,flat,scalar,40,6105854,6105854,5918417,6295583,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,4000,200,16,10,50,flat,simd,40,3410000,3410000,3305458,3703666,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,4000,200,16,10,50,hnsw,scalar,40,3442396,3442396,3349834,3899666,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,4000,200,16,10,50,hnsw,simd,40,3048083,3048083,2992125,3274375,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,8000,200,16,10,50,flat,scalar,40,10312520,10312520,10063500,10700875,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,8000,200,16,10,50,flat,simd,40,6522812,6522812,6354708,7418500,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,8000,200,16,10,50,hnsw,scalar,40,3412687,3412687,3331750,3532125,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,8000,200,16,10,50,hnsw,simd,40,3060458,3060458,3007834,3469625,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,8000,200,16,10,50,flat,scalar,40,10833791,10833791,10631334,11156625,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,8000,200,16,10,50,flat,simd,40,5878500,5878500,5777708,6053084,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,8000,200,16,10,50,hnsw,scalar,40,3523812,3523812,3441333,4379709,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,8000,200,16,10,50,hnsw,simd,40,3184916,3184916,3061166,3389375,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,16000,200,16,10,50,flat,scalar,40,20038125,20038125,19813500,20658042,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,16000,200,16,10,50,flat,simd,40,12551875,12551875,12284333,52780709,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,16000,200,16,10,50,hnsw,scalar,40,3667416,3667416,3496458,11031917,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,16000,200,16,10,50,hnsw,simd,40,3610479,3610479,3440708,4274916,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,16000,200,16,10,50,flat,scalar,40,22372542,22372542,21990417,23253500,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,16000,200,16,10,50,flat,simd,40,11876979,11876979,11538000,31531375,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,16000,200,16,10,50,hnsw,scalar,40,3874354,3874354,3740708,4894667,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,16000,200,16,10,50,hnsw,simd,40,3415041,3415041,3270583,3813083,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,32000,200,16,10,50,flat,scalar,40,39934042,39934042,39566041,41567250,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,32000,200,16,10,50,flat,simd,40,24373041,24373041,24038167,25661041,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,32000,200,16,10,50,hnsw,scalar,40,4156583,4156583,3975708,4878667,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,32000,200,16,10,50,hnsw,simd,40,3694333,3694333,3581958,3984875,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,32000,200,16,10,50,flat,scalar,40,44338042,44338042,41524458,91523750,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,32000,200,16,10,50,flat,simd,40,22824354,22824354,21782584,30905167,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,32000,200,16,10,50,hnsw,scalar,40,4339375,4339375,4183375,5226000,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,32000,200,16,10,50,hnsw,simd,40,3822437,3822437,3647416,4703334,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,128000,200,16,10,50,flat,scalar,40,158325750,158325750,154743250,215276208,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,128000,200,16,10,50,flat,simd,40,94002667,94002667,93400666,138626416,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
gcc,128000,200,16,10,50,hnsw,scalar,40,5422896,5422896,5346334,6413792,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
gcc,128000,200,16,10,50,hnsw,simd,40,4917854,4917854,4736250,7206625,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/gcc/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,128000,200,16,10,50,flat,scalar,40,169446291,169446291,162442875,260162001,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,128000,200,16,10,50,flat,simd,40,85452937,85452937,83161875,111900500,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/flat_search_simd --vectors /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/vectors.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10,
clang,128000,200,16,10,50,hnsw,scalar,40,5757084,5757084,5613834,7665416,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
clang,128000,200,16,10,50,hnsw,simd,40,5214020,5214020,4963459,7133625,0,/home/cs1952y-user/final/final-project/out/H1_compiler_check/bin/clang/hnsw_search_simd --hnsw /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/hnsw.bin --queries /home/cs1952y-user/final/final-project/out/H1_compiler_check/data/queries.bin --k 10 --ef 50,
