n_vectors,n_queries,dim,k,ef,algo,variant,search_time_ns,returncode,command,stderr
1000,200,16,10,50,flat,scalar,1891292,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
1000,200,16,10,50,flat,simd,1377541,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
1000,200,16,10,50,hnsw,scalar,3163875,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
1000,200,16,10,50,hnsw,simd,2776125,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
2000,200,16,10,50,flat,scalar,3624333,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
2000,200,16,10,50,flat,simd,2332708,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
2000,200,16,10,50,hnsw,scalar,3390166,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
2000,200,16,10,50,hnsw,simd,3089459,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
4000,200,16,10,50,flat,scalar,5962291,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
4000,200,16,10,50,flat,simd,3804750,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
4000,200,16,10,50,hnsw,scalar,6964959,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
4000,200,16,10,50,hnsw,simd,3224667,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
8000,200,16,10,50,flat,scalar,12527750,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
8000,200,16,10,50,flat,simd,6870000,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
8000,200,16,10,50,hnsw,scalar,3766791,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
8000,200,16,10,50,hnsw,simd,3421000,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
16000,200,16,10,50,flat,scalar,22036666,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
16000,200,16,10,50,flat,simd,13202583,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
16000,200,16,10,50,hnsw,scalar,4433500,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
16000,200,16,10,50,hnsw,simd,3954834,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
32000,200,16,10,50,flat,scalar,43776667,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
32000,200,16,10,50,flat,simd,26782833,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
32000,200,16,10,50,hnsw,scalar,4920625,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
32000,200,16,10,50,hnsw,simd,5329875,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
64000,200,16,10,50,flat,scalar,82922750,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
64000,200,16,10,50,flat,simd,49334709,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
64000,200,16,10,50,hnsw,scalar,4827292,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
64000,200,16,10,50,hnsw,simd,4090542,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
128000,200,16,10,50,flat,scalar,168093500,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
128000,200,16,10,50,flat,simd,96214375,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
128000,200,16,10,50,hnsw,scalar,5761416,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
128000,200,16,10,50,hnsw,simd,4972125,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
256000,200,16,10,50,flat,scalar,363890667,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
256000,200,16,10,50,flat,simd,200117125,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
256000,200,16,10,50,hnsw,scalar,12588041,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
256000,200,16,10,50,hnsw,simd,8722708,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
512000,200,16,10,50,flat,scalar,683815292,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
512000,200,16,10,50,flat,simd,399732000,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
512000,200,16,10,50,hnsw,scalar,10682667,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
512000,200,16,10,50,hnsw,simd,7387833,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
